rule_id,level,target,field,match_type,pattern,supermarket,priority
252,subcategory,Helados y Postres fríos,category_norm,equals,helados,,100
252,subcategory,Helados y Postres fríos,subcategory_norm,regex,\b(polos|sandwiches)\b,,100
253,subcategory,Salud y Bienestar,category_norm,regex,\b(higiene intima|suplementos alimenticios)\b,,100
253,subcategory,Salud y Bienestar,subcategory_norm,regex,\b(tampones|toallitas y geles intimos|energia|complementos vitaminicos|vitaminas y minerales|colagenos|sueno y relajacion)\b,,100
254,subcategory,Salud y Bienestar,category_norm,equals,botiquin,,100
254,subcategory,Salud y Bienestar,subcategory_norm,equals,sprays y tiras nasales,,100
255,category,Aceites y Condimentos,category_norm,equals,aceites y condimentos,,120
256,category,Aperitivos,category_norm,equals,aperitivos,,120
257,category,Bebés y Mascotas,category_norm,equals,bebes y mascotas,,120
258,category,Carnes y Pescados,category_norm,equals,carnes y pescados,,120
259,category,Comidas preparadas,category_norm,equals,comidas preparadas,,120
260,category,Con Alcohol,category_norm,equals,con alcohol,,120
261,category,Conservas,category_norm,equals,conservas,,120
262,category,Cuidado Personal,category_norm,equals,cuidado personal,,120
263,category,Desayuno y Merienda,category_norm,equals,desayuno y merienda,,120
264,category,Dulces,category_norm,equals,dulces,,120
265,category,Frutas y Verduras,category_norm,equals,frutas y verduras,,120
266,category,Granos y Pastas,category_norm,equals,granos y pastas,,120
267,category,Ingredientes,category_norm,equals,ingredientes,,120
268,category,Limpieza y Hogar,category_norm,equals,limpieza y hogar,,120
269,category,Lácteos y Huevos,category_norm,equals,lacteos y huevos,,120
270,category,Panadería,category_norm,equals,panaderia,,120
271,category,Panadería y Sustitutos,category_norm,equals,panaderia y sustitutos,,120
